r,s,projected_gradient_norm,collision_value,sign_u,sign_v,sign_w,amp_r,amp_s
12,15,9.57171841822896e-16,0.0,-1.0,-1.0,1.0,1.0,1.0
8,24,9.120164023973813e-16,0.0,-1.0,-1.0,1.0,1.0,2.0
1,18,9.05028741138765e-16,0.0,-1.0,-1.0,1.0,1.0,1.0
9,18,8.980080418982474e-16,0.0,-1.0,1.0,-1.0,1.0,1.0
5,17,8.975983448134763e-16,0.0,1.0,1.0,1.0,1.0,1.0
7,16,8.958866382259412e-16,0.0,1.0,1.0,1.0,1.0,1.0
1,13,8.954573589798045e-16,0.0,-1.0,-1.0,1.0,1.0,1.0
0,12,8.758802267390287e-16,0.0,-1.0,1.0,-1.0,1.0,1.0
0,13,8.672248573159353e-16,0.0,-1.0,1.0,-1.0,1.0,1.0
0,18,8.60492951974372e-16,0.0,-1.0,1.0,-1.0,1.0,1.0
4,14,8.546029588962189e-16,0.0,1.0,1.0,1.0,1.0,1.0
2,6,8.53118349670546e-16,0.0,-1.0,1.0,-1.0,1.0,1.0
2,10,8.529390525520392e-16,0.0,-1.0,1.0,-1.0,1.0,1.0
9,14,8.461935500969419e-16,0.0,-1.0,-1.0,1.0,1.0,1.0
4,6,8.453740714272845e-16,0.0,-1.0,-1.0,1.0,1.0,1.0
10,16,8.45064803694269e-16,0.0,1.0,1.0,1.0,1.0,1.0
6,16,8.423462266726241e-16,0.0,1.0,-1.0,-1.0,1.0,1.0
4,8,8.312332783638968e-16,0.0,1.0,1.0,1.0,1.0,1.0
6,15,8.188153781721586e-16,0.0,1.0,1.0,1.0,1.0,1.0
12,14,8.078743931760002e-16,0.0,1.0,-1.0,-1.0,1.0,1.0
1,6,8.04537685744e-16,0.0,-1.0,1.0,-1.0,1.0,1.0
11,22,7.954559791758294e-16,0.0,1.0,-1.0,-1.0,1.0,2.0
13,15,7.746327496646678e-16,0.0,-1.0,1.0,-1.0,1.0,1.0
13,14,7.742984303665935e-16,0.0,1.0,1.0,1.0,1.0,1.0
3,14,7.704708617610757e-16,0.0,-1.0,1.0,-1.0,1.0,1.0
9,16,7.515151887856481e-16,0.0,1.0,1.0,1.0,1.0,1.0
6,18,7.431490523525154e-16,0.0,-1.0,1.0,-1.0,1.0,1.0
11,20,7.157722462971098e-16,0.0,-1.0,-1.0,1.0,1.0,2.0
11,24,7.071169516073611e-16,0.0,-1.0,1.0,-1.0,1.0,2.0
16,22,6.9801988701931e-16,0.0,-1.0,-1.0,1.0,1.0,2.0
11,21,6.964793842655604e-16,0.0,-1.0,1.0,-1.0,1.0,2.0
5,21,6.704231074515468e-16,0.0,1.0,1.0,1.0,1.0,2.0
2,23,6.618735337743965e-16,0.0,1.0,-1.0,-1.0,1.0,2.0
11,19,6.611347531325144e-16,0.0,-1.0,-1.0,1.0,1.0,2.8284271247461903
12,25,6.560872151084974e-16,0.0,-1.0,1.0,-1.0,1.0,2.0
11,23,6.376416756338163e-16,0.0,1.0,-1.0,-1.0,1.0,2.0
13,20,6.14084967399032e-16,0.0,-1.0,-1.0,1.0,1.0,2.0
11,25,6.059567062657721e-16,0.0,-1.0,-1.0,1.0,1.0,2.0
