generation,rank,basin_id,parent_id,roles,expansion_count,soft_nullity,susceptibility,death_distance,source
33,23,844,673,death,14,35.999999999999545,1.0013549706976042,1.832451701534958,exact_hop
33,23,567,78,explore,7,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
34,23,1299,1268,genericity,1,34.99999999999977,1.0024610798418223,2.5951868415034323,off_manifold_hop
34,23,970,200,deletion,11,35.99999999999966,0.6035945595265015,2.4815781199865943,off_manifold_hop
34,23,1320,844,death,1,35.99999999999966,1.0014136727533087,1.8281057563953167,exact_hop
35,23,1341,1299,genericity,1,34.99999999999977,1.0028044205721414,2.177716440016521,exact_hop
35,23,970,200,deletion,12,35.99999999999966,0.6035945595265015,2.4815781199865943,off_manifold_hop
35,23,1320,844,death,2,35.99999999999966,1.0014136727533087,1.8281057563953171,exact_hop
36,23,1370,1341,genericity,1,34.999999999999545,1.0055812671854831,2.2946949652733077,exact_hop
36,23,970,200,deletion,13,35.99999999999966,0.6035945595265015,2.4815781199865943,off_manifold_hop
36,23,1320,844,death,3,35.99999999999977,1.0014136727533087,1.8281057563953167,exact_hop
36,23,567,78,explore,8,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
37,23,1402,1370,genericity,1,34.99999999999966,1.0037192819630172,2.5711935888289577,exact_hop
37,23,970,200,deletion,14,35.99999999999966,0.6035945595265015,2.4815781199865943,off_manifold_hop
37,23,1320,844,death,4,35.99999999999966,1.0014136727533087,1.8281057563953174,exact_hop
38,23,1448,1402,genericity,1,34.999999999999545,1.0025836225807503,2.1788952501941816,off_manifold_hop
38,23,970,200,deletion,15,35.99999999999966,0.6035945595265015,2.4815781199865943,off_manifold_hop
38,23,1320,844,death,5,35.99999999999966,1.0014136727533087,1.828105756395319,exact_hop
39,23,1472,1448,genericity,1,34.999999999998295,1.0021451833758872,2.1518527213299063,off_manifold_hop
39,23,970,200,deletion,16,35.99999999999966,0.6035945595265015,2.4815781199865943,off_manifold_hop
39,23,1320,844,death,6,35.99999999999966,1.0014136727533087,1.8281057563953171,exact_hop
39,23,567,78,explore,9,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
40,23,1495,1472,genericity,1,35.0,1.0043504452113161,1.9706026877796932,off_manifold_hop
40,23,970,200,deletion,17,35.99999999999966,0.6035945595265015,2.4815781199865943,off_manifold_hop
40,23,1320,844,death,7,35.99999999999966,1.0014136727533087,1.8281057563953167,exact_hop
41,23,1536,1495,genericity,1,34.999999999999545,1.0021045054742295,1.9415030503642579,off_manifold_hop
41,23,970,200,deletion,18,35.99999999999966,0.6035945595265015,2.4815781199865943,off_manifold_hop
41,23,1320,844,death,8,35.99999999999966,1.0014136727533087,1.8281057563953163,exact_hop
42,23,1536,1495,genericity,2,34.999999999999545,1.0021045054742295,1.9415030503642596,off_manifold_hop
42,23,970,200,deletion,19,35.99999999999966,0.6035945595265015,2.4815781199865943,off_manifold_hop
